"year","month","WEEKDAY","member_casual","rideable_type","cantidad","avg_time_length","max_time_length","min_time_length","median_time_length","avg_distance","min_distance","max_distance","median_distance"
2022,12,1,"casual","classic_bike",1613,"00:16:42","06:54:14","00:00:00","00:10:51",1.63770479229131,0,11.4386385152037,1.37621242225797
2022,12,1,"casual","docked_bike",320,"00:33:16","22:54:25","00:00:00","00:17:24",1.8729782247904,0,11.8028328871869,1.51727375853344
2022,12,1,"casual","electric_bike",3410,"00:10:46","03:23:37","00:00:00","00:07:47",1.79849754636991,0,21.010802053514,1.38789712277033
2022,12,1,"member","classic_bike",5341,"00:11:00","05:32:46","00:00:00","00:07:57",1.60495577476295,0,11.8388692697709,1.18789712681708
2022,12,1,"member","electric_bike",6776,"00:10:30","05:52:21","00:00:01","00:06:56",1.90077311706797,0,20.0288625317948,1.38846189631905
2022,12,2,"casual","classic_bike",1354,"00:15:30","12:26:02","00:00:00","00:08:40",1.56519357709515,0,15.4370518219295,1.22778744461571
2022,12,2,"casual","docked_bike",157,"00:50:22","23:05:44","00:00:00","00:19:06",1.98785556842467,0,14.9596458574368,1.36342225568432
2022,12,2,"casual","electric_bike",3425,"00:09:12","02:27:49","00:00:01","00:06:48",1.6757193403095,0,13.8816792652841,1.33329553467161
2022,12,2,"member","classic_bike",8629,"00:10:54","22:17:23","00:00:00","00:07:33",1.65034193653749,0,11.9463496962205,1.20999337619784
2022,12,2,"member","electric_bike",10260,"00:09:41","07:50:40","00:00:00","00:06:37",1.87177826106869,0,20.0516638438615,1.38693094743703
2022,12,3,"casual","classic_bike",1523,"00:14:50","13:38:46","00:00:00","00:08:41",1.60085369560102,0,13.6483263813559,1.29118456839689
2022,12,3,"casual","docked_bike",171,"00:32:43","07:54:16","00:00:00","00:15:09",1.75119753840928,0,10.4473615209375,1.38182089395283
2022,12,3,"casual","electric_bike",4223,"00:09:07","02:20:34","00:00:01","00:06:53",1.65627609123432,0,19.0205468786983,1.32766290663332
2022,12,3,"member","classic_bike",9805,"00:10:42","18:32:31","00:00:00","00:07:44",1.68211422069476,0,12.5873742000095,1.22656106235892
2022,12,3,"member","electric_bike",12303,"00:09:32","07:19:00","00:00:00","00:06:59",1.98068445031447,0,19.8180654211549,1.4692568743152
2022,12,4,"casual","classic_bike",1491,"00:17:19","20:37:30","00:00:00","00:08:48",1.56028967370523,0,10.9356741216866,1.2179362284015
2022,12,4,"casual","docked_bike",196,"00:38:31","17:15:44","00:00:00","00:18:09",1.79155960830016,0,7.12282944633803,1.53998362766884
2022,12,4,"casual","electric_bike",3991,"00:09:28","02:13:32","00:00:02","00:07:11",1.71865423303954,0,17.3013986199714,1.38735476743636
2022,12,4,"member","classic_bike",8848,"00:11:03","23:26:21","00:00:00","00:07:41",1.6771626245826,0,12.2582468960235,1.2133824490193
2022,12,4,"member","electric_bike",11314,"00:09:35","07:59:58","00:00:01","00:06:57",1.9692450401103,0,16.8325979087921,1.46481073194974
2022,12,5,"casual","classic_bike",2317,"00:17:58","14:00:28","00:00:00","00:09:17",1.59477333237284,0,20.929427006971,1.22657321196132
2022,12,5,"casual","docked_bike",334,"00:40:07","19:21:37","00:00:00","00:17:09",2.10964090670154,0,11.4386385152037,1.50593974470525
2022,12,5,"casual","electric_bike",5526,"00:10:00","07:59:54","00:00:02","00:07:16",1.75261847995488,0,16.318208082887,1.38750976029097
2022,12,5,"member","classic_bike",12067,"00:10:43","13:25:27","00:00:00","00:07:43",1.65339294338261,0,11.5009134213907,1.19305880666526
2022,12,5,"member","electric_bike",15028,"00:09:38","08:00:18","00:00:00","00:06:56",1.96656058878702,0,19.2125609872329,1.41974064696053
2022,12,6,"casual","classic_bike",2039,"00:19:13","16:16:42","00:00:00","00:10:13",1.56329118115195,0,13.5121310075145,1.25886695911571
2022,12,6,"casual","docked_bike",343,"00:43:50","23:17:35","00:00:00","00:19:45",1.93806021884374,0,17.8577307479661,1.53656676962855
2022,12,6,"casual","electric_bike",4774,"00:10:37","05:56:07","00:00:03","00:07:37",1.80712491651428,0,13.121098777523,1.38859391362743
2022,12,6,"member","classic_bike",8726,"00:11:02","17:35:59","00:00:00","00:07:35",1.57564098059876,0,14.2989734847387,1.17081543859381
2022,12,6,"member","electric_bike",10936,"00:10:05","07:59:59","00:00:00","00:06:58",1.94616007174891,0,20.0288625317948,1.41388077793692
2022,12,7,"casual","classic_bike",2315,"00:18:36","21:59:01","00:00:00","00:10:14",1.61780996059743,0,23.6009657716138,1.33261384279817
2022,12,7,"casual","docked_bike",404,"00:35:36","20:05:02","00:00:00","00:16:32",1.56899311176718,0,8.80140243549206,1.37247142108973
2022,12,7,"casual","electric_bike",4968,"00:11:01","06:58:09","00:00:02","00:07:49",1.78734373457919,0,19.9796283756594,1.38754850281733
2022,12,7,"member","classic_bike",7282,"00:11:00","18:28:55","00:00:00","00:07:51",1.56911116213767,0,12.053628556512,1.17136880572799
2022,12,7,"member","electric_bike",9597,"00:10:33","07:59:54","00:00:00","00:06:59",1.90972681356118,0,16.52500125459,1.4087729142226
