"year","month","WEEKDAY","member_casual","rideable_type","cantidad","avg_time_length","max_time_length","min_time_length","median_time_length","avg_distance","min_distance","max_distance","median_distance"
2022,11,1,"casual","classic_bike",4541,00:21:37,20:40:58,00:00:00,00:12:38,1.95676178093537,0,14.7566501383133,1.46759342608424
2022,11,1,"casual","docked_bike",912,00:40:05,17:54:53,00:00:00,00:25:09,2.17533233478181,0,12.2252760180445,1.63671871826923
2022,11,1,"casual","electric_bike",7044,00:12:36,07:59:55,00:00:00,00:08:37,2.00232455759858,0,15.9389680161258,1.53942582914271
2022,11,1,"member","classic_bike",10104,00:12:04,18:53:56,00:00:00,00:08:04,1.72880550668957,0,18.767106726982,1.22761981935572
2022,11,1,"member","electric_bike",11103,00:11:00,07:59:59,00:00:00,00:07:22,2.09367682071414,0,21.0334096178938,1.48836298269448
2022,11,2,"casual","classic_bike",3111,00:16:56,18:43:03,00:00:00,00:08:52,1.57563502054922,0,15.4370518219295,1.24785200089188
2022,11,2,"casual","docked_bike",512,00:39:22,21:40:10,00:00:00,00:21:06,1.8344281187909,0,12.6090855227947,1.50321875169857
2022,11,2,"casual","electric_bike",6677,00:09:54,02:49:03,00:00:00,00:07:10,1.76063669571273,0,26.6816431177478,1.38735476743636
2022,11,2,"member","classic_bike",15644,00:11:17,17:09:42,00:00:00,00:07:28,1.65663454393176,0,15.6433340055699,1.17890296518325
2022,11,2,"member","electric_bike",16661,00:09:26,07:59:57,00:00:01,00:06:49,1.97946750576365,0,17.2047197645144,1.43710754300394
2022,11,3,"casual","classic_bike",4623,00:16:43,18:26:34,00:00:00,00:09:50,1.70621833997603,0,18.4942961266128,1.31739070651252
2022,11,3,"casual","docked_bike",768,00:38:41,19:22:52,00:00:00,00:23:41,2.07191389829519,0,20.9048889403845,1.58835523153259
2022,11,3,"casual","electric_bike",10417,00:10:34,03:37:54,00:00:00,00:07:39,1.87538003021013,0,20.1074660758666,1.44386968479204
2022,11,3,"member","classic_bike",21492,00:11:12,21:37:19,00:00:00,00:07:58,1.76320961294654,0,19.6879499591299,1.24775338055129
